store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
cc7bcd3f-09d7-4aa3-a7f1-5c2685722fe9,0.0,3.54,24.85,0.0,7.46,52.15
a36f611c-9c69-4a0e-858d-414179bd4869,0.0,0.0,0.0,0.0,0.0,1.0
0a1d42a2-f6ad-4c6b-9617-375126714502,0.0,1.17,9.75,0.0,11.33,77.75
12090bc5-fb06-4f50-9c89-a7c3cd1cd96f,6.4,6.09,44.64,28.27,7.91,53.36
7784800e-d62a-4138-a918-e540abbeecfd,0.0,0.0,1.0,0.0,0.0,0.0
ae1ce22a-f2ba-4e42-a717-6d64a712c72f,0.0,8.48,44.59,0.0,3.02,35.91
e31cadf9-25d8-4e5b-b4dc-a670ced3f35c,0.0,4.53,35.76,0.0,7.97,53.74
8f817373-d50f-48d3-b8be-d250d907bdd5,4.69,0.0,0.0,0.0,10.5,75.5
7ce35467-0119-46c7-b42b-c7da5d5b793e,0.0,4.32,30.3,0.0,8.18,57.2
01611b02-d799-4a60-840a-38f16fdaf84b,0.0,4.29,34.15,0.0,5.71,37.85
443680f2-7a19-4ca1-91d2-e80850b15cfe,4.69,10.15,62.97,0.0,3.02,29.2
fd85a9e3-6ffc-439d-8884-888748a60bd8,0.0,4.43,31.07,0.0,8.07,56.43
0625bc76-e197-47be-a81e-07f920acfed1,0.0,8.04,56.97,0.0,5.45,37.41
a48af4b9-dab0-4f0e-b12a-734e4f116025,6.18,6.09,42.75,27.51,7.89,55.16
984cdab9-8098-4517-b97c-317849725b72,0.0,4.48,33.42,0.0,8.02,56.08
eabd6698-da6b-4334-b36a-e83db00af880,0.0,8.06,68.15,0.0,5.44,26.35
94cfd25a-abbb-407c-9aec-6f74ec7f5f50,0.0,4.63,32.48,0.0,7.87,55.02
12381e87-a967-44d9-ab36-2929a53ad1ba,0.0,2.92,20.49,0.0,7.58,53.01
2c8caeab-3275-4e5e-baea-2ba2b06a4efb,0.0,10.47,59.82,0.0,3.02,34.56
44705416-4ca2-4b1d-8c71-4ea20cbccce4,0.0,0.75,5.33,0.0,7.25,50.67
25d67545-7a1c-4a32-9bc2-0f6bec0551de,0.0,3.37,23.63,0.0,7.63,53.37
2f33d254-b3d9-4091-a230-ebf2c04a0fb3,0.0,0.0,0.0,0.0,11.0,77.0
48763983-46b7-4ca9-ba40-59f6fdc74705,59.98,24.0,165.0,0.0,0.0,3.0
5c9fda51-136b-4e7b-9cd5-0c940725440f,0.0,4.25,28.79,0.0,5.5,31.71
22a9dbf7-82e5-4dc0-8fb2-26c0acde8195,0.0,12.67,88.67,0.0,0.0,0.0
78c89a12-2674-4ee4-8009-471ffc7044a8,4.83,6.07,44.49,29.84,7.93,53.51
2aadc988-1be1-427b-baa0-bb14d2e44948,0.0,3.07,21.55,0.0,7.6,53.12
e12303fe-4405-4f2c-aefc-97b63b18c848,5.71,6.08,44.58,28.96,7.92,53.41
